aha_mont64,121024,4068,21820,21800,11456,66472
crc32,121024,3868,24400,24390,11472,66608
cubic,121024,28052,9370,9290,11472,68172
edn,121024,7364,23540,23500,11472,66812
huffbench,121024,22636,17430,17390,11488,69140
matmult_int,121024,5932,19530,19510,11472,66540
md5sum,121024,21316,9630,9600,11488,69072
minver,121024,5284,5430,5400,11472,66540
nbody,121024,4084,30,10,11472,66472
nettle_aes,121024,17716,17670,17640,11488,67984
nettle_sha256,121024,10380,13610,13560,11512,68188
nsichneu,121024,31916,14750,14630,11472,66404
picojpeg,121024,18852,23050,22960,11488,67704
primecount,121024,2948,3880,3870,11456,66472
qrduino,121024,33780,17930,17840,11488,69888
sglib_combined,121024,25028,16650,16600,11488,69480
slre,121024,6732,14110,14070,11472,67016
st,121024,3292,990,980,11456,66472
statemate,121024,10972,7970,7930,11456,66880
tarfind,121024,20484,7440,7420,11488,69004
ud,121024,4220,15530,15520,11456,66608
wikisort,121024,15268,5150,5090,11488,67876
