aha_mont64,121744,4060,22860,22840,2944,110273
crc32,121744,3860,24750,24740,2960,110348
cubic,121744,28044,9820,9740,2960,147667
edn,121744,7356,24290,24260,2960,143742
huffbench,121744,22628,18050,18020,2976,146326
matmult_int,121744,5924,20110,20090,2960,143204
md5sum,121744,21308,9960,9930,2976,146174
minver,121744,5276,5540,5520,2960,143272
nbody,121744,4076,30,20,2960,110367
nettle_aes,121744,17708,18200,18170,2976,112367
nettle_sha256,121744,10372,14160,14100,2976,145521
nsichneu,121744,31908,15090,14980,2960,143388
picojpeg,121744,18844,23720,23630,3144,145626
primecount,121744,2940,4000,3990,2944,110168
qrduino,121744,33772,18410,18320,2976,147675
sglib_combined,121744,25020,17170,17130,2976,146802
slre,121744,6724,14350,14320,3432,144145
st,121744,3284,1020,1010,2944,110296
statemate,121744,10964,8470,8430,2944,143680
tarfind,121744,20476,7610,7600,2976,113198
ud,121744,4212,16070,16050,2944,110571
wikisort,121744,15260,5250,5190,2976,145335
